Rank,Name,Year,Position,Binary_SP,WAR,완투,완봉,승,패,세이브,홀드,이닝,자책점,4구,삼진,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
298,가내영,1998,P,0,0.6,0,0,1,3,1,0,40.1,19,8,18,4.24,4.46,4.46,4.46,4.29,1.09
299,이상목,1998,P,1,0.6,5,2,9,17,2,0,174.2,94,38,145,4.84,5.36,5.36,5.41,3.49,1.35
300,김태한,1996,P,1,0.59,1,0,4,7,1,0,86.1,43,42,65,4.48,5,5,4.86,3.86,1.44
301,송진우,1998,P,1,0.59,1,0,6,10,0,0,114.2,61,43,72,4.79,5.18,5.18,5.23,4.93,1.47
302,오상민,1997,P,0,0.58,0,0,2,4,2,0,77,42,33,39,4.91,5.14,5.14,5.07,4.57,1.43
303,강태원,2000,P,0,0.58,0,0,0,2,0,6,33,16,14,38,4.36,4.91,4.91,4.73,4.41,1.3
304,김용수,2000,P,1,0.58,0,0,6,4,4,1,127,74,42,85,5.24,5.88,5.88,6.13,4.09,1.45
305,송유석,1996,P,0,0.58,0,0,2,1,3,0,71.1,34,27,32,4.29,4.79,4.79,4.6,4.86,1.42
306,이준호,1999,P,0,0.57,0,0,4,1,1,0,40.2,23,12,28,5.09,5.75,5.75,5.46,4.77,1.52
307,김경원,1999,P,0,0.57,0,0,3,3,0,0,81.2,51,34,38,5.62,6.28,6.28,6.33,5.25,1.51
308,정성훈,1997,P,0,0.57,1,1,3,6,2,0,77,41,34,39,4.79,5.49,5.49,5.26,4.67,1.34
309,차명석,1996,P,0,0.56,0,0,4,4,1,0,71.1,32,15,34,4.04,4.42,4.42,4.57,4,1.35
310,박진석,1999,P,0,0.56,0,0,1,1,0,0,25.1,13,11,21,4.62,4.62,4.62,4.6,5.6,1.18
311,이병석,1999,P,0,0.55,0,0,4,4,2,0,62.2,39,25,54,5.6,6.61,6.61,6.32,4.76,1.77
312,가득염,1996,P,0,0.55,0,0,1,1,0,0,50.1,22,25,27,3.93,4.83,4.83,4.56,5.55,1.47
313,한태균,1996,P,0,0.54,0,0,4,1,1,0,50.2,19,12,21,3.38,3.91,3.91,4.06,3.45,1.36
314,김원형,1999,P,0,0.53,0,0,2,3,2,0,37,20,13,38,4.86,5.35,5.35,5.33,3.47,1.16
315,한태균,1998,P,0,0.53,0,0,1,0,0,0,29,9,9,16,2.79,3.72,3.72,3.88,3.71,1.38
316,김상진,1996,P,1,0.52,2,0,5,7,3,0,94,38,39,83,3.64,4.6,4.6,4.77,3.06,1.28
317,홍민구,1999,P,0,0.52,0,0,2,1,0,0,23.2,12,10,13,4.56,4.56,4.56,4.61,4.8,1.48
318,성영재,1999,P,1,0.52,1,0,5,16,2,0,131.1,89,47,74,6.1,6.51,6.51,6.49,6.2,1.54
319,신윤호,1998,P,0,0.52,0,0,2,1,0,0,64,33,37,43,4.64,4.78,4.78,4.98,4.68,1.41
320,안병원,2000,P,1,0.51,0,0,6,3,0,0,68,40,22,40,5.29,5.56,5.56,5.79,4.95,1.46
321,김기덕,1997,P,1,0.5,1,0,7,6,0,0,105,61,28,49,5.23,5.49,5.49,5.41,4.97,1.31
322,임창식,1999,P,0,0.5,0,0,1,4,1,0,49.1,31,24,14,5.66,6.02,6.02,6.02,6.29,1.58
323,성준,1998,P,0,0.5,0,0,1,1,0,0,40.2,22,22,16,4.87,4.87,4.87,4.64,5.17,1.72
324,류택현,1999,P,0,0.49,0,0,1,0,0,0,43.1,25,17,38,5.19,5.61,5.61,5.86,5.09,1.43
325,박성기,1998,P,0,0.49,0,0,0,1,0,0,43,22,23,20,4.6,4.81,4.81,4.77,5.19,1.37
326,박성진,1997,P,0,0.49,0,0,0,0,0,0,10.1,2,2,8,1.74,1.74,1.74,1.72,2.83,1.16
327,최승민,1997,P,0,0.46,0,0,1,0,0,0,26,9,3,9,3.12,3.81,3.81,3.98,3.91,1.12
328,이혜천,1998,P,0,0.46,0,0,0,0,0,0,10.1,2,6,9,1.74,1.74,1.74,1.82,3.23,1.06
329,최한림,1996,P,0,0.45,1,0,2,1,0,0,51,27,20,25,4.76,4.76,4.76,4.63,5.09,1.39
330,이상열,1999,P,0,0.45,0,0,3,1,1,0,54,36,32,42,6,6.17,6.17,6.17,6.22,1.76
331,민원기,1997,P,0,0.45,0,0,0,0,0,0,13.2,3,6,5,1.98,2.63,2.63,2.75,5.68,1.32
332,조규제,1999,P,1,0.45,0,0,6,2,2,0,56,37,20,52,5.95,5.95,5.95,6,4.54,1.46
333,이상훈,1999,P,0,0.44,0,0,4,6,0,0,101.2,70,66,59,6.2,6.55,6.55,6.39,6.49,1.82
334,김기범,1996,P,1,0.43,2,0,4,10,0,0,103,49,55,62,4.28,4.81,4.81,4.98,4.21,1.48
335,곽현희,1998,P,0,0.41,0,0,2,0,0,0,58.1,33,22,41,5.09,5.25,5.25,5.04,4.98,1.39
336,박명환,2000,P,0,0.41,0,0,1,0,0,1,11.2,4,7,19,3.09,3.09,3.09,3.21,4.21,1.11
337,김상엽,1996,P,0,0.4,0,0,3,1,1,0,21,9,15,22,3.86,3.86,3.86,3.75,4.33,1.24
338,박진석,1997,P,1,0.39,0,0,2,1,0,0,29.1,15,15,14,4.6,4.6,4.6,4.54,5.08,1.74
339,김태한,2000,P,0,0.39,0,0,0,0,0,8,21.2,11,9,16,4.57,4.98,4.98,4.78,3.47,1.34
340,문동환,1997,P,0,0.39,0,0,2,5,8,0,39,21,15,23,4.85,4.85,4.85,4.65,3.59,1.41
341,조계현,1998,P,1,0.39,2,0,8,11,0,0,150.1,87,64,94,5.21,5.93,5.93,5.64,4.77,1.56
342,신동수,1996,P,0,0.38,0,0,0,2,1,0,41,17,23,22,3.73,4.17,4.17,4.32,4.43,1.34
343,신상윤,1997,P,0,0.38,0,0,0,0,1,0,10.2,3,4,7,2.53,2.53,2.53,2.57,5.01,1.41
344,김혁섭,1999,P,0,0.37,0,0,0,2,0,0,31,18,15,19,5.23,5.52,5.52,5.76,4.66,1.45
345,신동수,1997,P,0,0.36,0,0,0,0,0,0,12.1,3,15,3,2.19,2.92,2.92,3.05,7.14,1.46
346,박보현,1996,P,0,0.36,0,0,1,3,0,0,46,24,25,24,4.7,5.09,5.09,4.81,4.25,1.33
347,윤형진,2000,P,1,0.35,0,0,3,10,0,0,98.1,65,37,70,5.95,6.41,6.41,6.17,5.02,1.51
348,노장진,1998,P,1,0.35,1,0,7,10,0,0,149.1,87,81,104,5.24,5.48,5.48,5.54,4.82,1.55
349,홍우태,1998,P,0,0.35,0,0,0,0,0,0,36.2,19,14,26,4.66,4.66,4.66,4.71,3.28,1.77
350,이원식,2000,P,1,0.34,0,0,3,1,0,0,58.2,39,21,22,5.98,6.14,6.14,5.91,5.84,1.48
351,박주언,2000,P,0,0.34,0,0,0,0,0,0,18.2,9,7,11,4.34,4.82,4.82,4.73,5.09,1.39
352,최원호,1997,P,0,0.33,0,0,4,5,1,0,78.2,39,41,40,4.46,5.26,5.26,5.35,5.43,1.6
353,김태원,1998,P,0,0.33,0,0,0,1,0,0,15,3,6,10,1.8,3.6,3.6,3.75,4.09,1.07
354,김해님,1998,P,0,0.33,0,0,2,1,0,0,60.1,34,27,34,5.07,5.07,5.07,5.12,3.84,1.44
355,이상군,2000,P,0,0.33,0,0,1,2,0,0,30.1,16,6,15,4.75,5.64,5.64,5.57,5.56,1.25
356,안병원,1998,P,0,0.32,0,0,2,0,1,0,36.1,17,16,23,4.21,4.95,4.95,4.99,4.57,1.4
357,최원호,2000,P,1,0.32,0,0,2,6,1,1,77.1,47,44,47,5.47,5.94,5.94,6.18,5.19,1.46
358,임봉춘,1997,P,0,0.31,0,0,0,2,0,0,33.2,18,24,21,4.81,5.08,5.08,4.88,5.06,1.57
359,김기범,1999,P,0,0.3,0,0,0,0,1,0,21.1,12,9,19,5.06,5.48,5.48,5.73,5.19,1.73
360,강상수,1997,P,0,0.3,1,0,3,11,3,0,101.2,58,45,70,5.13,5.75,5.75,5.53,3.88,1.71
361,오상민,1999,P,0,0.3,0,0,2,7,1,0,80.1,53,29,59,5.94,6.61,6.61,6.58,6.39,1.51
362,박동희,2000,P,0,0.3,1,1,4,0,0,0,57.1,35,31,37,5.49,6.28,6.28,6.02,5.26,1.69
363,김유봉,1996,P,0,0.3,0,0,0,2,0,0,19.1,8,11,7,3.72,3.72,3.72,3.87,7.42,1.55
364,최창호,1999,P,0,0.3,0,0,1,2,0,0,26.1,17,19,24,5.81,5.81,5.81,6.07,5.83,1.82
365,김경진,1999,P,0,0.29,0,0,0,0,0,0,32,22,5,14,6.19,6.19,6.19,6.16,6.24,1.31
366,고형욱,1999,P,0,0.29,0,0,1,2,0,0,39.1,26,25,20,5.95,6.18,6.18,6.15,7.61,1.6
367,박태순,1998,P,0,0.29,0,0,0,0,0,0,10.2,4,4,8,3.38,3.38,3.38,3.21,5.94,1.5
368,김사율,2000,P,0,0.28,0,0,1,3,1,0,48,28,17,31,5.25,6,6,5.96,4.92,1.33
369,이상열,2000,P,0,0.28,0,0,3,7,0,0,88.1,56,46,75,5.71,6.52,6.52,6.45,5.71,1.6
370,안병원,1997,P,0,0.28,0,0,4,9,1,0,123,65,58,97,4.76,5.49,5.49,5.58,4.3,1.46
371,홍의현,1998,P,0,0.27,0,0,0,0,0,0,20,8,5,7,3.6,4.5,4.5,4.41,4.89,1
372,박명환,1999,P,1,0.27,0,0,1,1,1,0,16.1,9,12,20,4.96,4.96,4.96,5.18,3.14,1.53
373,유현승,1999,P,0,0.27,2,1,4,11,1,0,121.1,84,38,62,6.23,6.75,6.75,6.72,5.74,1.48
374,손민한,1997,P,0,0.27,0,0,1,3,1,0,30,16,20,17,4.8,5.1,5.1,4.9,4.81,1.43
375,장준관,2000,P,0,0.26,0,0,2,0,0,0,28,16,19,24,5.14,5.46,5.46,5.69,6.04,1.71
376,마원성,1996,P,0,0.26,0,0,0,1,0,0,15.2,6,4,8,3.45,3.45,3.45,3.58,4.59,1.15
377,변대수,1997,P,0,0.26,0,0,2,1,2,0,42.2,24,35,28,5.06,5.48,5.48,5.25,4.58,1.71
378,최재호,2000,P,0,0.26,0,0,0,2,0,0,38,26,14,18,6.16,6.16,6.16,5.91,5.71,1.71
379,이상훈,1998,P,0,0.26,0,0,0,0,0,0,21,10,10,12,4.29,4.71,4.71,4.49,5.89,1.43
380,이상훈,1997,P,0,0.25,0,0,1,2,3,0,58,36,23,33,5.59,5.74,5.74,5.5,4.7,1.69
381,윤형배,1997,P,0,0.25,0,0,1,1,1,0,19.1,10,14,13,4.66,4.66,4.66,4.54,4.31,1.86
382,박정현,2000,P,0,0.24,0,0,1,2,0,0,56.1,36,33,24,5.75,6.23,6.23,6.12,5.86,1.92
383,최한경,1996,P,0,0.23,0,0,1,2,0,0,42.2,16,25,20,3.38,5.06,5.06,4.92,4.79,1.57
384,가득염,2000,P,0,0.23,0,0,1,2,0,2,48.2,28,18,37,5.18,6.1,6.1,6.07,5.15,1.36
385,정성훈,1999,P,0,0.23,0,0,1,1,0,0,19.2,13,3,9,5.95,5.95,5.95,5.64,3.82,1.63
386,윤형배,1996,P,0,0.23,0,0,1,0,0,0,27,15,5,12,5,5,5,4.73,3.06,1.67
387,전병호,1998,P,0,0.23,0,0,6,4,1,0,87.2,52,48,64,5.34,5.85,5.85,5.57,5.24,1.53
388,이상번,1997,P,0,0.22,0,0,0,0,0,0,13,6,4,11,4.15,4.15,4.15,3.99,3.25,1.08
389,박진석,2000,P,0,0.22,0,0,0,0,0,0,38,24,7,20,5.68,6.16,6.16,6.05,4.84,1.76
390,성준,1999,P,0,0.21,0,0,1,2,1,0,23.1,15,12,15,5.79,6.17,6.17,6.11,5.76,1.59
391,최영필,2000,P,0,0.21,0,0,0,0,0,1,10.1,5,3,9,4.35,4.35,4.35,4.56,4.65,1.16
392,최향남,1996,P,0,0.21,0,0,1,0,0,0,31.1,17,13,30,4.88,4.88,4.88,4.68,4.25,1.53
393,지연규,1996,P,0,0.2,0,0,0,0,0,0,10.2,4,3,5,3.38,3.38,3.38,3.5,2.57,1.22
394,강태원,1999,P,0,0.2,0,0,0,2,0,0,31,22,8,23,6.39,6.68,6.68,6.39,6.83,1.45
395,임봉춘,2000,P,0,0.2,0,0,0,0,0,0,14,7,9,11,4.5,5.14,5.14,5.11,4.5,1.57
396,손민한,1999,P,0,0.2,0,0,0,0,1,0,19.1,12,6,9,5.59,6.05,6.05,6,4.92,1.29
397,구자운,1999,P,0,0.19,0,0,1,1,1,0,25.2,17,11,23,5.96,5.96,5.96,6.23,5.62,1.25
398,김석기,1996,P,0,0.19,0,0,1,1,0,0,24.1,13,11,11,4.81,4.81,4.81,4.76,4.66,1.52
399,라형진,2000,P,0,0.18,0,0,0,1,0,1,21,13,20,13,5.57,6,6,5.75,5.6,1.67
400,소소경,2000,P,0,0.17,0,0,1,2,0,1,53,37,31,35,6.28,6.45,6.45,6.22,5.88,1.75
401,김경원,2000,P,0,0.17,0,0,4,9,0,1,82.1,58,50,39,6.34,6.67,6.67,6.59,6.5,1.75
402,박주언,1996,P,0,0.17,0,0,4,2,1,0,66.2,37,32,37,5,5.27,5.26,5.21,3.93,1.5
403,송유석,2000,P,0,0.16,0,0,1,4,2,2,64,38,42,21,5.34,6.75,6.75,6.67,6.96,1.75
404,강희석,1999,P,1,0.16,0,0,1,4,0,0,49,28,17,19,5.14,6.61,6.61,6.59,5.48,1.33
405,신윤호,1999,P,0,0.14,0,0,0,0,0,0,32.2,21,15,23,5.79,6.34,6.34,6.62,4.22,1.65
406,장정순,1997,P,0,0.14,0,0,1,0,0,0,12.2,7,5,9,4.97,4.97,4.97,4.76,6.22,1.58
407,최영필,1997,P,0,0.13,0,0,4,10,0,0,101.1,55,73,79,4.88,5.6,5.6,5.69,5.13,1.66
408,콜,2000,P,0,0.12,0,0,8,10,2,1,114.1,78,78,71,6.14,6.61,6.61,6.49,5.49,1.7
409,김영수,1997,P,0,0.12,0,0,0,2,0,0,65.1,37,51,47,5.1,5.51,5.51,5.76,4.89,1.55
410,차명주,1998,P,0,0.12,2,0,0,7,0,0,92,51,39,41,4.99,5.97,5.97,5.84,5.12,1.46
411,김장백,2000,P,0,0.11,0,0,1,9,2,0,100.2,68,47,71,6.08,6.79,6.79,6.72,4.8,1.72
412,이정훈,1998,P,0,0.11,0,0,3,2,2,0,71,35,30,26,4.44,5.83,5.83,5.71,4.59,1.39
413,김상엽,1998,P,1,0.11,0,0,3,3,0,0,36.2,22,17,17,5.4,5.89,5.89,5.61,5.72,1.5
414,이상훈,2000,P,0,0.1,0,0,4,4,2,0,88.2,59,40,63,5.99,6.39,6.39,6.66,4.43,1.61
415,김건우,1997,P,0,0.1,0,0,0,0,0,0,11.2,6,4,11,4.63,4.63,4.63,4.84,5.03,1.29
416,문남열,1999,P,0,0.1,0,0,2,1,0,0,59,45,36,38,6.86,7.32,7.32,6.95,6.23,1.86
417,김동호,1997,P,0,0.09,0,0,1,1,0,0,33,21,21,14,5.73,5.73,5.73,5.53,5.82,1.64
418,정수찬,2000,P,0,0.09,0,0,2,0,0,1,12,7,2,9,5.25,6,6,5.89,3.99,1.25
419,김환조,1997,P,0,0.08,0,0,0,1,0,0,21,9,2,12,3.86,5.14,5.14,5.38,3.28,1.57
420,전하진,2000,P,0,0.08,0,0,0,0,0,0,11.2,8,5,8,6.17,6.17,6.17,6.1,5.55,1.63
