Rank,Name,Year,Position,Binary_SP,WAR,완투,완봉,승,패,세이브,홀드,이닝,자책점,4구,삼진,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
2098,박현준,2011,P,1,1.65,0,0,13,10,0,0,163.2,76,68,137,4.18,4.84,4.84,4.99,3.95,1.35
2099,안지만,2014,P,0,1.63,0,0,6,3,1,27,62.1,26,30,67,3.75,3.9,4.69,4.72,4.11,1.3
2100,바티스타,2011,P,0,1.62,0,0,3,0,10,0,35.2,8,22,61,2.02,2.02,2.02,1.98,1.6,1.15
2101,박세웅,2015,P,1,1.61,0,0,2,11,0,0,114,73,54,82,5.76,6.39,5.91,5.7,5.76,1.61
2102,김세현,2015,P,0,1.61,1,1,4,5,0,6,90.1,44,28,85,4.38,4.68,5.24,5.1,4.79,1.31
2103,임정우,2014,P,0,1.59,0,0,2,5,0,0,73.1,34,26,54,4.17,4.3,4.68,5.01,4.66,1.43
2104,박성훈,2012,P,0,1.59,0,0,5,4,0,7,47.2,13,24,34,2.45,2.45,2.45,2.38,3.84,1.2
2105,송은범,2011,P,0,1.58,0,0,8,8,1,4,78.2,30,45,55,3.43,3.89,3.89,3.97,5.12,1.47
2106,윤규진,2014,P,0,1.58,0,0,7,2,9,3,72,35,31,73,4.38,4.63,5.13,4.96,4.71,1.39
2107,채병용,2012,P,1,1.57,0,0,3,3,0,0,62.2,22,22,42,3.16,3.16,3.16,3.16,3.32,1.42
2108,원종현,2014,P,0,1.57,0,0,5,3,1,11,71,32,31,73,4.06,4.56,4.63,4.83,4.47,1.31
2109,한현희,2012,P,0,1.57,0,0,3,4,0,7,69.1,24,22,54,3.12,3.38,3.38,3.28,3.7,1.1
2110,서재응,2011,P,1,1.57,1,0,8,9,2,2,130.1,62,36,84,4.28,4.7,4.7,4.7,3.7,1.38
2111,문성현,2014,P,1,1.57,0,0,9,4,0,1,85.1,56,48,51,5.91,6.22,6.15,5.7,6.36,1.69
2112,세든,2015,P,1,1.56,1,1,7,5,0,0,74,41,28,67,4.99,5.11,4.99,4.96,5.14,1.42
2113,나이트,2011,P,1,1.56,0,0,7,15,0,0,172.1,90,98,115,4.7,5.12,5.12,5.03,4.76,1.55
2114,손승락,2014,P,0,1.54,0,0,3,5,32,0,62.1,30,11,53,4.33,4.33,5,4.76,3.92,1.28
2115,심창민,2015,P,0,1.54,0,0,6,3,0,9,67.1,32,24,91,4.28,4.28,4.48,4.45,3.29,1.16
2116,이브랜드,2013,P,1,1.53,2,0,6,14,0,0,172.1,107,65,129,5.59,5.74,5.41,5.47,3.76,1.48
2117,이용찬,2011,P,1,1.52,0,0,6,10,0,0,129,60,60,99,4.19,4.67,4.67,4.83,3.99,1.52
2118,마정길,2014,P,0,1.52,0,0,3,3,0,7,64,34,30,55,4.78,5.2,4.76,4.52,5.81,1.36
2119,김영민,2013,P,1,1.52,0,0,5,5,0,0,101.1,58,48,55,5.15,5.51,4.96,4.82,4.82,1.65
2120,정대현,2015,P,1,1.52,0,0,5,11,0,0,118,68,62,82,5.19,6.1,6.06,5.86,6.01,1.69
2121,마야,2014,P,1,1.51,1,0,2,4,0,0,63,34,24,54,4.86,5.14,4.85,5.04,4.62,1.44
2122,신재웅,2014,P,0,1.51,0,0,8,3,0,8,64,27,26,46,3.8,4.08,4.54,4.77,5.12,1.38
2123,임준섭,2013,P,0,1.5,0,0,4,8,0,2,105,61,67,55,5.23,5.66,5.51,5.39,5.72,1.74
2124,오재영,2013,P,1,1.5,0,0,4,0,0,1,41.1,11,18,31,2.4,2.83,2.83,2.73,3.64,1.11
2125,한현희,2013,P,0,1.49,0,0,5,0,1,27,67.1,24,25,56,3.21,3.61,3.96,3.69,4.48,1.32
2126,진명호,2012,P,0,1.49,0,0,2,1,0,1,60,23,41,54,3.45,3.45,3.45,3.34,5.04,1.48
2127,송신영,2015,P,1,1.49,0,0,7,4,0,0,69,41,22,46,5.35,5.48,5.41,5.07,5.57,1.43
2128,권오준,2011,P,0,1.48,0,0,1,1,0,11,48.1,15,10,52,2.79,3.17,3.17,3.13,2.13,1.2
2129,김사율,2013,P,0,1.47,0,0,3,7,1,3,74.1,33,34,47,4,4.24,4.38,4.06,5.44,1.45
2130,심동섭,2011,P,0,1.46,0,0,3,1,2,7,55.1,17,31,67,2.77,3.42,3.42,3.42,2.72,1.23
2131,손민한,2013,P,0,1.45,0,0,5,6,9,3,60.1,23,23,22,3.43,3.58,3.55,3.76,4.86,1.31
2132,이우선,2011,P,0,1.45,0,0,0,0,0,0,51,19,14,35,3.35,3.35,3.35,3.32,4.11,1.2
2133,전병두,2011,P,0,1.44,0,0,3,3,3,8,92.1,39,56,87,3.8,4.29,4.29,4.38,4.45,1.33
2134,정찬헌,2014,P,0,1.44,0,0,1,3,3,8,52.2,26,27,41,4.44,4.44,4.26,4.39,5.03,1.59
2135,오현택,2013,P,0,1.42,0,0,5,3,5,7,73.1,22,19,65,2.7,2.82,3.6,3.81,3.61,1.15
2136,이정훈,2013,P,0,1.41,0,0,5,2,1,11,69,23,24,29,3,3.26,4.1,3.72,4.78,1.35
2137,임정우,2015,P,0,1.41,0,0,6,9,5,3,109,61,50,99,5.04,5.37,5.3,5.58,4.46,1.59
2138,최대성,2014,P,0,1.4,0,0,2,2,0,1,45.1,13,25,43,2.58,3.38,3.72,3.51,4.06,1.46
2139,고든,2011,P,1,1.39,0,0,6,4,0,0,75.2,32,20,70,3.81,4.04,4.04,4.13,2.77,1.16
2140,우규민,2012,P,0,1.39,0,0,4,4,1,9,92.2,34,23,57,3.3,3.98,3.98,4.1,3.01,1.28
2141,임정호,2015,P,0,1.38,0,0,1,2,0,14,48,19,27,54,3.56,3.75,3.7,3.83,3.78,1.21
2142,이동현,2012,P,0,1.37,0,0,2,2,0,6,56.2,19,18,56,3.02,3.18,3.18,3.27,2.21,1.08
2143,니퍼트,2015,P,1,1.37,0,0,6,5,0,0,90,51,33,76,5.1,5.4,5.2,5.48,3.79,1.52
2144,변진수,2012,P,0,1.36,0,0,4,0,1,2,31.2,6,11,18,1.71,1.71,1.71,1.75,3.34,0.82
2145,박정배,2013,P,0,1.33,0,0,5,2,0,14,49,9,24,53,1.65,2.02,3.38,3.27,3.53,1.31
2146,저마노,2015,P,1,1.32,0,0,3,6,0,1,76.2,42,15,40,4.93,5.4,5.4,5.46,4.6,1.64
2147,정현욱,2012,P,0,1.32,0,0,2,5,0,3,62.2,22,21,48,3.16,3.59,3.59,3.55,2.75,1.24
2148,밴와트,2015,P,1,1.31,0,0,5,3,0,0,56.1,29,13,50,4.63,4.63,4.63,4.74,3.76,1.47
2149,문성현,2013,P,1,1.31,0,0,5,4,0,0,64,32,22,55,4.5,4.92,5.07,4.85,4.35,1.48
2150,김성배,2012,P,0,1.3,0,0,3,4,2,14,53.1,19,20,33,3.21,3.38,3.38,3.27,3.61,1.24
2151,노성호,2014,P,0,1.3,0,0,1,2,0,1,48.1,24,28,37,4.47,4.66,4.52,4.55,5.74,1.49
2152,송은범,2012,P,1,1.3,0,0,8,3,0,0,97.2,45,44,72,4.15,4.15,4.15,4.15,3.83,1.45
2153,박근홍,2015,P,0,1.3,0,0,2,2,0,8,48.2,16,24,55,2.96,3.7,3.83,3.99,3.91,1.29
2154,임창민,2014,P,0,1.29,0,0,6,3,1,5,53.1,26,29,53,4.39,4.73,4.55,4.62,4.63,1.48
2155,이승호,2011,P,0,1.28,0,0,6,3,2,2,64.1,25,47,50,3.5,3.92,3.92,4,4.41,1.48
2156,김진성,2014,P,0,1.28,0,0,3,3,25,1,48.1,22,26,52,4.1,4.66,4.55,4.76,4.35,1.37
2157,저마노,2011,P,1,1.27,0,0,5,1,0,0,45.1,14,6,29,2.78,3.38,3.38,3.34,3.22,1.13
2158,권혁,2011,P,0,1.27,0,0,1,3,0,19,48.1,15,22,27,2.79,3.54,3.54,3.5,4.2,1.24
2159,강영식,2011,P,0,1.26,0,0,2,1,1,16,41,16,22,39,3.51,3.51,3.51,3.37,4.44,1.39
2160,오현택,2014,P,0,1.25,0,0,4,3,0,4,66.2,27,18,56,3.65,3.78,4.83,5.11,4.25,1.49
2161,장원삼,2015,P,1,1.24,0,0,10,9,0,0,136.2,88,50,107,5.8,6.32,6.25,6.37,5.79,1.47
2162,안지만,2013,P,0,1.23,0,0,6,2,0,22,63.2,22,23,60,3.11,3.25,3.69,3.66,3.17,1.08
2163,허준혁,2015,P,1,1.23,0,0,3,2,0,0,63,25,41,45,3.57,5.29,4.79,5.04,5.94,1.48
2164,김사율,2012,P,0,1.22,0,0,2,3,34,1,45.1,15,11,43,2.98,3.18,3.18,3.08,3.05,1.24
2165,윤길현,2015,P,0,1.21,0,0,0,4,13,17,62.2,22,36,62,3.16,3.59,4.8,4.83,4.73,1.5
2166,홍성용,2015,P,0,1.21,0,0,0,4,0,10,39.2,17,13,31,3.86,4.31,3.88,3.78,4.37,1.31
2167,이민호,2015,P,0,1.21,0,0,6,5,0,10,96,54,41,103,5.06,5.81,5.68,5.72,4.69,1.5
2168,권혁,2012,P,0,1.2,0,0,2,3,1,18,49.1,17,20,38,3.1,3.28,3.28,3.25,3.24,1.38
2169,고효준,2011,P,0,1.2,0,0,5,8,0,0,105.2,50,69,89,4.26,4.68,4.68,4.78,4.14,1.48
2170,엄정욱,2012,P,0,1.19,0,0,4,5,3,12,56.1,20,24,44,3.2,3.36,3.36,3.36,4.02,1.24
2171,유원상,2014,P,0,1.19,0,0,4,5,0,16,68,33,23,49,4.37,4.63,5.07,5.32,4.6,1.32
2172,글로버,2011,P,1,1.18,0,0,7,6,0,0,121,57,41,122,4.24,4.83,4.83,4.93,3.47,1.29
2173,강영식,2014,P,0,1.18,0,0,2,5,0,14,47,25,24,42,4.79,4.79,4.91,4.84,4.75,1.49
2174,신재웅,2012,P,1,1.17,0,0,5,2,0,0,57.2,23,23,30,3.59,3.59,3.59,3.7,4.62,1.32
2175,홍상삼,2013,P,0,1.16,0,0,5,4,5,9,72,20,45,77,2.5,2.75,3.74,4.02,4.43,1.33
2176,마정길,2011,P,0,1.16,0,0,1,4,0,8,48.1,18,24,46,3.35,3.72,3.72,3.66,3.97,1.26
2177,스와잭,2015,P,1,1.16,0,0,5,7,0,1,92.1,54,30,72,5.26,5.56,5.37,5.8,4.41,1.52
2178,권혁,2015,P,0,1.15,0,0,9,13,17,6,112,62,53,88,4.98,5.46,5.61,5.59,5.19,1.58
2179,김대우,2014,P,0,1.15,0,0,2,2,1,0,73.2,45,45,66,5.5,5.86,5.93,5.67,5.7,1.81
2180,전유수,2014,P,0,1.15,0,0,7,4,0,5,84.2,47,37,72,5,5.42,5.83,5.75,5.07,1.61
2181,이정민,2014,P,0,1.15,0,0,1,1,0,8,33.1,9,15,25,2.43,3.78,4.24,4.02,4.04,1.71
2182,송신영,2013,P,0,1.14,0,0,4,3,1,15,61.2,22,33,43,3.21,3.21,3.94,3.82,4.26,1.38
2183,최영필,2014,P,0,1.14,0,0,4,2,0,14,53.2,19,15,45,3.19,4.19,5.3,5.16,4.41,1.25
2184,윤희상,2015,P,1,1.13,0,0,5,9,0,0,93.1,61,34,67,5.88,6.27,5.91,5.9,5.37,1.58
2185,토마스,2014,P,1,1.13,0,0,2,2,0,0,46.2,23,19,51,4.44,5.01,5.01,5.11,3.55,1.59
2186,손민한,2014,P,0,1.12,0,0,4,4,1,9,48.1,19,14,23,3.54,3.72,4.75,4.9,5.32,1.45
2187,박지훈,2012,P,0,1.11,0,0,3,3,2,10,61.1,23,30,37,3.38,3.67,3.67,3.65,4.28,1.39
2188,홍성민,2012,P,0,1.1,0,0,0,0,1,3,56,21,25,32,3.38,3.54,3.54,3.52,4.73,1.54
2189,권오준,2012,P,0,1.1,0,0,1,3,0,10,42.2,14,13,48,2.95,3.16,3.16,3.13,2.1,1.05
2190,아담,2013,P,1,1.1,0,0,4,8,0,0,91.2,42,27,70,4.12,4.71,4.73,4.89,4.27,1.31
2191,김현우,2014,P,0,1.1,0,0,1,0,0,1,31,8,8,29,2.32,2.32,2.82,2.8,4.35,1.06
2192,김민우,2015,P,0,1.09,0,0,1,3,0,0,70,40,38,50,5.14,5.27,5.28,5.27,5.24,1.5
2193,심창민,2013,P,0,1.07,0,0,1,0,2,14,50.1,15,19,57,2.68,2.68,3.64,3.61,3.09,1.07
2194,김병현,2013,P,1,1.06,0,0,5,4,0,0,75.1,44,36,43,5.26,5.5,5.29,4.95,5.49,1.42
2195,빌로우,2013,P,1,1.06,0,0,3,2,1,0,47,21,26,38,4.02,4.98,4.65,4.57,3.81,1.51
2196,홍성민,2013,P,0,1.06,0,0,4,2,1,2,48.2,17,18,22,3.14,3.7,3.8,3.49,4.74,1.48
2197,최대성,2012,P,0,1.06,0,0,8,8,1,17,67.2,27,24,50,3.59,4.12,4.12,3.99,3.76,1.32
2198,김상현,2011,P,0,1.06,0,0,3,2,1,1,63.2,28,20,41,3.96,4.24,4.24,4.38,3.97,1.43
2199,윤길현,2014,P,0,1.05,0,0,3,3,7,9,57.2,25,28,63,3.9,4.21,5.36,5.36,4.42,1.34
2200,이정훈,2011,P,0,1.02,0,0,3,3,1,7,52.1,22,19,31,3.78,4.13,4.13,4.06,3.67,1.32
2201,권혁,2014,P,0,1.01,0,0,3,2,0,1,34.2,11,11,38,2.86,3.38,3.87,3.92,3.87,1.1
2202,어센시오,2014,P,0,1,0,0,4,1,20,0,46.2,21,14,56,4.05,4.63,5.13,5.1,3.59,1.35
2203,로드리게스,2013,P,1,0.99,0,0,3,5,0,0,57.1,28,30,46,4.4,4.55,4.55,4.41,4.77,1.38
2204,김태영,2014,P,0,0.99,0,0,5,4,1,11,50.2,32,17,45,5.68,6.04,5.44,5.2,4.79,1.44
2205,이민호,2014,P,0,0.99,0,0,7,2,2,8,88,49,38,73,5.01,5.42,5.72,6.03,6.37,1.49
2206,이재영,2011,P,0,0.97,0,0,2,0,0,2,29,9,8,15,2.79,2.79,2.79,2.85,4.42,0.93
2207,임창민,2013,P,0,0.97,0,0,6,6,4,9,64.2,27,32,63,3.76,4.04,3.96,4.08,4.69,1.13
2208,코리,2011,P,0,0.97,0,0,4,3,3,1,72.1,34,10,48,4.23,5.1,5.1,4.89,3.84,1.29
2209,이현승,2015,P,0,0.93,0,0,3,1,18,2,46.2,15,10,41,2.89,3.09,4.38,4.87,3.33,1.18
2210,오재영,2011,P,0,0.93,0,0,2,2,1,20,43.1,17,18,29,3.53,3.95,3.95,3.88,4.41,1.29
2211,강윤구,2011,P,0,0.92,0,0,3,1,0,0,21,5,11,11,2.14,2.14,2.14,2.11,3.94,1.24
2212,손정욱,2014,P,0,0.91,0,0,2,1,1,16,44,23,25,38,4.7,4.91,4.79,5.02,4.74,1.48
2213,정인욱,2012,P,0,0.91,0,0,1,1,0,0,25.1,7,11,16,2.49,2.49,2.49,2.46,3.38,1.11
2214,김강률,2012,P,0,0.9,0,0,0,0,0,0,34.1,11,17,27,2.88,2.88,2.88,2.97,3.4,1.31
2215,이승호,2011,P,0,0.9,0,0,6,3,0,0,60,28,39,51,4.2,4.35,4.35,4.44,5.11,1.42
2216,이재우,2013,P,0,0.89,0,0,5,2,0,0,66.2,35,48,44,4.73,4.86,4.56,4.71,5.46,1.61
2217,신용운,2013,P,0,0.88,0,0,2,0,0,2,40,9,16,36,2.03,2.03,2.91,2.85,4.2,1.05
2218,이재우,2014,P,1,0.88,0,0,1,2,0,1,37.2,21,22,30,5.02,5.02,5.02,4.98,5.9,1.67
2219,윤길현,2013,P,0,0.87,0,0,3,1,0,8,43.1,16,21,47,3.32,3.53,3.71,3.57,4.03,1.29
2220,박희수,2014,P,0,0.87,0,0,1,2,13,0,20.2,8,8,29,3.48,3.48,3.85,3.84,2.82,1.21
2221,김사율,2014,P,0,0.86,0,0,2,5,0,2,79.1,51,30,71,5.79,6.24,6.61,6.29,5.22,1.58
2222,송창식,2013,P,0,0.86,0,0,4,6,20,0,71,27,36,67,3.42,3.42,4.38,4.4,3.47,1.39
2223,김혁민,2013,P,0,0.85,0,0,5,10,0,11,146.2,88,60,96,5.4,5.71,5.75,5.79,5.69,1.38
2224,이상열,2012,P,0,0.85,0,0,1,3,0,15,55.2,23,16,29,3.72,3.88,3.88,4,4.03,1.13
2225,유동훈,2013,P,0,0.85,0,0,1,3,0,5,52.1,17,12,38,2.92,3.78,4.32,4.4,3.73,1.3
2226,김진성,2015,P,0,0.85,0,0,3,4,5,12,66,33,18,70,4.5,4.77,5.13,5.42,4.86,1.17
2227,김선규,2011,P,0,0.85,0,0,3,0,1,13,66.2,31,22,28,4.19,4.59,4.59,4.73,4.4,1.32
2228,타투스코,2014,P,1,0.83,1,0,2,6,0,0,63.2,50,45,49,7.07,7.21,6.35,6.27,6.12,1.71
2229,고원준,2012,P,1,0.83,0,0,3,7,0,0,95.1,45,43,45,4.25,4.91,4.91,4.75,4.94,1.59
2230,김진우,2014,P,0,0.83,0,0,3,4,1,1,90.2,60,61,85,5.96,6.55,6.74,6.57,5.29,1.78
2231,윤명준,2014,P,0,0.82,0,0,7,3,0,16,71.2,42,23,55,5.27,5.53,5.59,5.87,5.03,1.41
2232,김승회,2012,P,1,0.82,0,0,6,7,0,0,120.1,54,38,62,4.04,4.64,4.64,4.77,4.09,1.22
2233,김창훈,2012,P,0,0.81,0,0,1,1,0,2,21.2,5,12,15,2.08,2.08,2.08,2.14,3.76,0.97
2234,김성태,2011,P,1,0.81,0,0,3,7,0,0,89.2,48,38,71,4.82,5.12,5.12,5.03,4.12,1.42
2235,여건욱,2014,P,0,0.79,0,0,3,3,0,0,69.2,48,28,50,6.2,6.46,6.4,6.38,6.35,1.56
2236,신정락,2011,P,0,0.79,0,0,0,0,0,1,17.2,2,8,19,1.02,2.04,2.04,2.1,2.52,1.13
2237,임찬규,2011,P,0,0.79,0,0,9,6,7,0,82.2,41,61,62,4.46,4.9,4.9,5.05,5.11,1.62
2238,백정현,2014,P,0,0.78,0,0,0,3,1,1,46.1,27,17,53,5.24,5.44,5.1,5.1,4.02,1.47
2239,김기현,2015,P,0,0.78,0,0,1,0,0,3,41.1,20,30,32,4.35,4.35,4.69,4.75,6.07,1.6
2240,유동훈,2011,P,0,0.78,0,0,3,3,7,2,48,21,12,21,3.94,4.31,4.31,4.32,4.36,1.31
2241,이용찬,2014,P,0,0.77,0,0,5,5,17,0,51,24,16,47,4.24,4.94,5.15,5.53,3.81,1.41
2242,김승회,2015,P,0,0.77,0,0,7,3,2,2,75,52,28,50,6.24,6.24,6.18,5.78,5.73,1.65
2243,김재윤,2015,P,0,0.76,0,0,1,2,0,6,44.2,21,12,70,4.23,4.63,5.34,5.02,1.74,1.3
2244,금민철,2015,P,1,0.76,0,0,1,1,0,0,22,11,14,11,4.5,4.5,3.72,3.77,6.18,1.77
2245,김혁민,2011,P,1,0.76,0,0,5,13,1,0,128.2,71,56,109,4.97,5.46,5.46,5.36,4.57,1.46
2246,홍성민,2014,P,0,0.75,0,0,2,3,0,0,36,19,12,11,4.75,5.75,5.88,5.4,6.84,1.5
2247,엄상백,2015,P,1,0.74,0,0,5,6,0,0,100,74,50,78,6.66,6.93,6.63,6.43,5.79,1.77
2248,이영욱,2011,P,1,0.73,0,0,4,4,0,0,66.2,34,17,46,4.59,4.73,4.72,4.82,4.44,1.13
2249,최원재,2015,P,0,0.72,0,0,2,1,0,3,33,14,12,24,3.82,4.36,4.73,4.36,4.31,1.67
2250,유창식,2012,P,1,0.71,0,0,6,8,0,1,111.1,59,79,82,4.77,4.93,4.93,4.87,5.23,1.62
2251,서재응,2015,P,1,0.71,0,0,1,4,0,0,40,22,8,16,4.95,5.18,4.98,5.16,5.59,1.5
2252,고창성,2014,P,0,0.7,0,0,1,1,0,1,25,5,7,11,1.8,3.24,4.12,3.97,4.87,1.28
2253,이승호,2012,P,0,0.69,0,0,2,3,0,1,48.2,20,35,27,3.7,4.25,4.25,4.12,4.51,1.54
2254,윤지웅,2014,P,0,0.68,0,0,1,2,0,6,36,17,16,34,4.25,5,4.7,4.94,4.85,1.56
2255,윤희상,2014,P,1,0.68,0,0,0,1,0,0,28.1,16,9,18,5.08,5.4,4.91,5.15,4.29,1.59
2256,윤명준,2015,P,0,0.68,0,0,4,6,6,7,68,30,30,48,3.97,4.37,5.14,5.6,5.36,1.5
2257,김지용,2015,P,0,0.66,0,0,1,1,0,0,32.2,15,12,28,4.13,4.13,4.5,4.4,4.45,1.29
2258,강영식,2012,P,0,0.66,0,0,2,0,0,10,41.2,18,19,49,3.89,4.1,4.1,3.97,2.38,1.44
2259,손정욱,2013,P,0,0.65,0,0,0,1,0,1,20.1,4,9,10,1.77,2.21,2.5,2.59,5.42,1.18
2260,김병현,2014,P,1,0.65,1,0,3,6,0,0,71,56,27,66,7.1,7.35,6.94,6.64,4.51,1.62
2261,오재영,2014,P,1,0.64,0,0,5,6,0,0,74,53,33,31,6.45,7.18,7.19,6.83,6.97,1.78
2262,정대현,2015,P,0,0.61,0,0,2,1,3,3,18.1,6,7,17,2.95,2.95,4.22,3.94,5.24,1.25
2263,임정우,2013,P,0,0.61,0,0,2,1,0,3,50.1,25,24,39,4.47,4.65,4.31,4.26,4.11,1.29
2264,정찬헌,2015,P,0,0.59,0,0,3,6,1,5,44,27,14,32,5.52,5.52,5.03,5.33,4.28,1.43
2265,심동섭,2015,P,0,0.59,0,0,3,1,1,21,57.1,32,43,71,5.02,5.81,5.45,5.47,4.83,1.57
2266,박근홍,2014,P,0,0.59,0,0,1,0,0,5,30.1,15,28,26,4.45,4.75,4.75,4.87,6.85,1.75
2267,차우찬,2014,P,0,0.58,0,0,3,4,0,21,82,51,42,79,5.6,6.26,5.98,6.22,4.74,1.56
2268,고영표,2015,P,0,0.58,0,0,3,4,0,0,57,36,19,57,5.68,6.47,5.99,5.72,3.91,1.53
2269,윤근영,2011,P,0,0.58,0,0,0,0,0,1,25.2,11,16,25,3.86,3.86,3.86,3.79,3.71,1.64
2270,김기표,2012,P,0,0.57,0,0,3,0,0,1,26.2,9,7,13,3.04,3.38,3.38,3.48,4.32,1.28
2271,정재훈,2014,P,0,0.57,0,0,1,5,2,15,53.2,32,19,56,5.37,5.53,5.56,5.95,4.36,1.29
2272,최성민,2011,P,0,0.57,0,0,2,1,0,1,21.1,8,23,12,3.38,3.38,3.38,3.48,5.71,1.92
2273,김영민,2012,P,1,0.57,0,0,5,9,0,0,121,63,70,90,4.69,5.06,5.06,4.91,4.38,1.76
2274,박명환,2015,P,0,0.56,0,0,1,1,0,0,26,14,5,15,4.85,4.85,4.97,5.1,6.35,1.58
2275,이재영,2012,P,0,0.56,0,0,6,3,1,10,65,31,35,46,4.29,4.43,4.43,4.44,4.44,1.54
2276,신승현,2015,P,0,0.56,0,0,0,1,0,3,35.2,19,18,30,4.79,4.79,4.92,5.05,4.99,1.4
2277,부첵,2011,P,1,0.56,0,0,4,2,0,0,53.1,30,21,39,5.06,5.4,5.4,5.17,4.86,1.43
2278,마정길,2015,P,0,0.56,0,0,0,0,0,0,37.1,21,17,33,5.06,5.3,5.4,5.23,5.07,1.42
2279,이재영,2015,P,0,0.55,0,0,1,0,0,1,31,16,13,26,4.65,5.23,4.67,4.64,5.13,1.58
2280,오현택,2015,P,0,0.55,0,0,1,3,0,13,56,33,16,45,5.3,5.3,5.39,5.64,4.36,1.34
2281,레이예스,2014,P,1,0.54,0,0,2,7,0,0,78.1,57,38,41,6.55,7.35,7.19,7.08,6.09,1.8
2282,류택현,2012,P,0,0.54,0,0,3,1,0,3,24.1,9,8,15,3.33,3.33,3.33,3.43,4.07,1.15
2283,이태양,2013,P,1,0.54,0,0,4,8,0,0,74.2,47,30,49,5.67,6.15,5.63,5.59,4.93,1.45
2284,한기주,2011,P,0,0.54,0,0,1,3,7,0,28.2,13,11,20,4.08,4.08,4.08,4.09,3.18,1.47
2285,고창성,2011,P,0,0.54,0,0,1,4,0,14,50.2,25,24,40,4.44,4.8,4.8,4.96,4.37,1.46
2286,최향남,2013,P,0,0.53,0,0,2,2,0,8,30.1,15,8,24,4.45,4.75,4.61,4.51,3.53,1.19
2287,이현승,2014,P,0,0.53,0,0,3,3,0,15,55,31,23,39,5.07,5.56,5.76,6.1,4.32,1.65
2288,박경태,2013,P,0,0.53,0,0,1,5,0,4,62.1,31,32,53,4.48,4.76,5.77,5.54,3.75,1.64
2289,심동섭,2014,P,0,0.52,0,0,1,5,4,9,45.2,28,28,46,5.52,5.91,5.95,5.92,4.55,1.58
2290,이보근,2013,P,0,0.52,0,0,1,3,0,1,39.2,19,11,18,4.31,4.31,4.28,4.18,4.36,1.36
2291,김강률,2011,P,0,0.52,0,0,0,0,1,3,25.1,11,13,20,3.91,3.91,3.91,4.04,4.3,1.7
2292,이상열,2011,P,0,0.51,0,0,0,6,3,18,44,19,12,27,3.89,4.7,4.7,4.85,3.48,1.3
2293,김효남,2012,P,0,0.51,0,0,0,0,0,0,16.1,5,3,13,2.76,2.76,2.76,2.73,3.71,1.22
2294,이현승,2011,P,0,0.5,0,0,3,5,4,6,74.2,40,26,50,4.82,5.18,5.18,5.36,4.51,1.49
2295,김일엽,2011,P,0,0.5,0,0,1,0,0,1,28.2,15,11,21,4.71,4.71,4.71,4.51,4.55,1.47
2296,김선우,2012,P,1,0.5,1,0,6,9,0,0,163.1,82,41,63,4.52,5.01,5.01,5.16,4.38,1.37
2297,김수완,2012,P,0,0.5,0,0,2,0,0,0,40.2,17,13,24,3.76,4.43,4.43,4.28,3.88,1.23
2298,문성현,2015,P,0,0.5,0,0,0,5,0,1,91.2,64,39,58,6.28,7.36,7.17,6.76,5.3,1.67
2299,김대우,2015,P,0,0.49,0,0,6,3,1,4,71,39,31,63,4.94,5.58,6.15,6.2,4.79,1.58
2300,손승락,2015,P,0,0.49,0,0,4,6,23,0,61.1,26,13,63,3.82,5.14,6.05,5.87,3.4,1.4
2301,신재웅,2015,P,0,0.49,0,0,0,1,0,9,50.1,23,17,49,4.11,5.01,5.57,5.74,4.13,1.77
2302,김광수,2015,P,0,0.49,0,0,4,4,0,9,43.2,22,13,22,4.53,4.95,5.54,5.44,4.37,1.51
2303,강영식,2013,P,0,0.49,0,0,1,3,1,9,39.2,17,19,40,3.86,3.86,4.69,4.38,3.22,1.29
2304,김진우,2015,P,0,0.48,0,0,1,0,0,1,13,5,9,12,3.46,3.46,3.22,3.15,5.09,1.62
2305,정현욱,2013,P,0,0.48,0,0,2,5,2,16,47.2,20,25,31,3.78,4.34,4.34,4.65,4.67,1.68
2306,한승혁,2015,P,0,0.48,0,0,2,6,0,6,56,34,36,56,5.46,5.79,5.68,5.64,4.96,1.63
2307,김광현,2012,P,1,0.48,0,0,8,5,0,0,81.2,39,36,65,4.3,4.85,4.85,4.86,4.25,1.48
2308,김선규,2013,P,0,0.48,0,0,2,1,0,3,29,9,8,9,2.79,3.1,3.72,3.91,5.13,1.34
2309,김수경,2012,P,0,0.48,0,0,0,1,0,0,12.2,3,4,5,2.13,2.13,2.13,2.07,3.72,1.82
2310,박정진,2014,P,0,0.48,0,0,4,4,9,7,49.1,33,25,51,6.02,7.11,6.22,6.02,4.45,1.6
2311,함덕주,2014,P,0,0.47,0,0,1,0,0,2,26.1,13,12,23,4.44,4.44,5.09,5.21,4.5,1.37
2312,최성훈,2012,P,0,0.47,0,0,5,6,0,2,73.1,36,30,23,4.42,4.79,4.79,4.93,4.91,1.57
2313,심수창,2011,P,1,0.47,1,0,2,13,0,0,109.2,61,42,52,5.01,5.5,5.5,5.52,5.1,1.64
2314,앤서니,2013,P,0,0.47,0,0,0,3,20,0,36,18,15,25,4.5,4.5,5.14,4.97,3.94,1.58
2315,김희걸,2011,P,0,0.46,0,0,2,5,0,3,67.1,38,30,42,5.08,5.21,5.21,5.22,4.74,1.44
