Rank,Name,Year,Position,Binary_SP,WAR_z,완투_z,완봉_z,승_z,패_z,세이브_z,홀드_z,이닝_z,자책점_z,4구_z,삼진_z,ERA_z,RA9_z,rRA9_z,rRA9pf_z,FIP_z,WHIP_z
2015,매티스,2011,P,1,0.963516885,-0.308944476,-0.222541102,0.28823664,-0.549148783,-0.362827424,-0.571221354,-0.102309367,-0.6436245,0.288097048,-0.532807167,-1.224549654,-1.320429306,-1.320243848,-1.343867504,-0.096751963,0.009278579
2016,배영수,2014,P,1,0.700523213,2.500956375,-0.183202005,1.106369779,0.780433848,-0.307234017,-0.551587815,1.481790393,1.827456513,0.667318602,1.683779901,-0.03242638,-0.102376867,-0.235030491,-0.212417396,-0.86391109,-0.176378111
2017,오승환,2012,P,0,0.8724384,-0.344451711,-0.234136395,-0.473738561,-0.872613853,5.061229816,-0.563481194,-0.25841105,-0.846620057,-0.713657847,0.867097991,-1.35099787,-1.431718885,-1.431718885,-1.435377415,-2.922447006,-1.901577666
2018,클로이드,2015,P,1,0.65871355,-0.273897704,-0.209678417,1.718532811,2.196573064,-0.298266532,-0.547495089,1.870494393,2.375265518,0.587630248,1.586847224,-0.070725789,0.01206646,-0.113319379,-0.082279884,-0.155843865,-0.491405566
2019,김승회,2014,P,0,0.694532823,-0.354613217,-0.183202005,-0.697164518,-0.553715635,3.308674029,0.156109759,-0.19276786,-0.743395108,-0.552302938,-0.250128015,-1.319666039,-1.532360176,-1.30069272,-1.432995694,-0.815390418,-1.519120696
2020,유먼,2015,P,1,0.653063077,-0.273897704,-0.209678417,0.054097299,0.681418651,-0.298266532,-0.547495089,0.497830848,0.42893579,0.587630248,0.017964776,-0.441882303,-0.364441231,-0.726032586,-0.734414318,0.026229411,-0.393881255
2021,손승락,2011,P,0,0.933473543,-0.308944476,-0.222541102,0.029017111,-0.549148783,2.840741847,-0.199650182,-0.365573029,-0.975703587,-0.813404438,-0.284712401,-1.650563343,-1.699635322,-1.699423692,-1.724381494,-1.296843,-1.526599065
2022,박정진,2011,P,0,0.925962708,-0.308944476,-0.222541102,0.806675696,0.647370516,0.956289335,2.401348022,0.378146816,-0.026906195,-0.026617662,1.121157938,-0.737676866,-0.821141385,-0.820990388,-0.861883117,-1.353540214,-1.124345396
2023,김진우,2013,P,1,0.776888289,-0.305142991,-0.205581405,1.362319711,1.917828007,-0.156405438,-0.59322594,1.146302192,1.642894727,1.018471008,1.858315261,0.192923119,0.281502443,0.057942036,0.044392659,-1.063977205,0.172569028
2024,레이예스,2013,P,1,0.770490027,3.966858882,4.831163013,1.098818398,2.845198787,-0.304738338,-0.59322594,2.077233034,2.647348086,3.122902068,1.977562835,0.112690098,0.099207909,-0.145748468,-0.170165925,0.174140287,-0.221746731
2025,홀튼,2014,P,1,0.658590485,-0.354613217,-0.183202005,0.333426509,1.447508589,-0.307234017,-0.551587815,0.61414363,0.542030702,1.190013547,0.240158499,-0.381053788,-0.443333741,-0.53362184,-0.589591806,0.138849461,-0.274627568
2026,백인식,2013,P,1,0.738498717,-0.305142991,-0.205581405,0.308314461,0.372210041,-0.304738338,-0.59322594,0.451577682,0.158050632,0.36709949,-0.049645929,-0.577313882,-0.549546166,-0.826503574,-0.798142269,0.108976208,-0.583202843
2027,조무근,2015,P,0,0.613509769,-0.273897704,-0.209678417,1.005203306,0.378387769,0.49292469,-0.136873772,0.094106275,-0.882721201,0.267412708,0.650200986,-1.904349762,-1.354118588,-0.990989648,-1.141301615,-1.579325842,-1.239091949
2028,윤석민,2015,P,0,0.607859297,-0.273897704,-0.209678417,-0.421455704,0.681418651,5.635667633,-0.547495089,0.069882801,-0.544229074,-0.159544012,0.298958647,-1.306067619,-1.520857708,-1.057228914,-1.029825643,-1.562773726,-0.816486602
2029,리즈,2012,P,1,0.796148486,1.075106856,-0.234136395,0.318414442,2.636607449,0.423101334,-0.563481194,1.65316531,1.71091721,2.258591984,2.530249005,-0.274181081,-0.227126416,-0.227126416,-0.146418943,-0.774641367,-0.105172448
2030,손영민,2011,P,0,0.858365188,-0.308944476,-0.222541102,1.325114752,0.647370516,0.579398832,1.286634506,0.404473182,-0.074346064,-0.131522566,0.404439726,-0.845870819,-0.795860984,-0.795711731,-0.792122219,-0.729870856,-1.160913911
2031,문성현,2011,P,1,0.850854353,-0.308944476,-0.222541102,0.28823664,2.442149465,-0.362827424,-0.571221354,1.347834637,1.491169634,2.596004925,1.562215299,0.006156559,-0.258652462,-0.258540286,-0.303795933,0.404073431,0.484669278
2032,탈보트,2012,P,1,0.775342146,-0.344451711,-0.234136395,2.694873451,-0.234573616,-0.301606241,-0.563481194,1.394036085,1.659766465,1.502019299,0.523908099,-0.101890395,-0.192709488,-0.192709488,-0.20943469,0.267542803,-0.07127801
2033,차우찬,2011,P,1,0.843343517,-0.308944476,-0.222541102,1.58433428,0.647370516,-0.362827424,-0.571221354,1.74273013,1.396289894,1.756765697,1.72761181,-0.433381374,-0.132250456,-0.132147005,-0.164274137,0.526917395,0.082415609
2034,박정진,2015,P,0,0.585257407,-0.273897704,-0.209678417,0.529650303,-0.833735762,-0.100468727,2.532164784,0.594724745,-0.121113916,0.640999838,0.86094639,-1.234052176,-1.246544962,-0.742592402,-0.795726103,-0.859308796,-0.97902712
2035,트레비스,2011,P,1,0.835832681,1.490992908,2.488414145,0.806675696,0.348240691,-0.362827424,-0.385435768,1.260080083,0.827011459,1.756765697,1.755177895,-0.575385937,-0.353453966,-0.353335247,-0.348189232,-0.087302427,-0.027289937
2036,윤규진,2015,P,0,0.562655517,-0.273897704,-0.209678417,-0.183679202,-0.530704879,1.679711523,0.068436886,-0.329804526,-0.882721201,-0.319652782,-0.169364472,-1.472257103,-1.682218147,-1.725141509,-1.765567057,-1.264835638,-1.304108156
2037,송창식,2012,P,0,0.740664912,-0.344451711,-0.234136395,0.054363441,-0.234573616,-0.156664726,1.575126501,0.118322977,-0.232811113,-0.011126069,0.471109654,-0.754133707,-0.875311887,-0.875311887,-0.891150504,-0.321517815,-1.460949971
2038,임준섭,2014,P,1,0.58071542,2.500956375,5.422779356,0.333426509,2.448120702,-0.307234017,-0.551587815,1.416716885,2.117713954,2.293480654,0.131205941,0.294747033,0.243668916,-0.023957296,-0.175747662,0.656403293,0.282119357
2039,엄정욱,2011,P,0,0.790767668,-0.308944476,-0.222541102,-0.230202417,-0.549148783,0.767844083,-0.571221354,-0.407256442,-0.928263718,-0.498689728,0.349307556,-1.488272414,-1.65539462,-1.655186043,-1.629252996,-1.542530929,-1.526599065
2040,봉중근,2014,P,0,0.57472503,-0.354613217,-0.183202005,-0.439516761,0.113359106,5.116628052,-0.551587815,-0.34026781,-0.867791155,-0.610380154,-0.113937316,-1.400118518,-1.608693804,-1.527210295,-1.39632596,-1.381464923,-0.831374494
2041,정우람,2015,P,0,0.545704099,-0.273897704,-0.209678417,0.767426804,0.378387769,2.866498356,1.710922152,0.069882801,-0.459606042,0.053934348,0.814114078,-1.167576383,-1.386390676,-1.02962922,-1.013104248,-2.100717497,-1.434140571
2042,신재웅,2013,P,1,0.655321311,-0.305142991,-0.205581405,0.044813148,0.063086448,-0.304738338,-0.59322594,-0.245131754,-0.584371416,-0.534799536,-0.74128186,-0.844757285,-0.849795986,-1.260685965,-1.164461803,0.369632522,-0.813220369
2043,신정락,2013,P,1,0.655321311,-0.305142991,-0.205581405,1.362319711,0.372210041,-0.304738338,-0.59322594,1.068890032,1.118832106,0.066466481,0.713538547,-0.19754425,-0.222488326,-0.435203395,-0.327160011,-0.444918459,-0.681781783
2044,유창식,2014,P,1,0.562744251,-0.354613217,-0.183202005,0.075778752,0.113359106,-0.307234017,-0.551587815,0.568592175,0.210307913,2.583866735,0.103967801,-0.735044694,-0.37717793,-0.471844319,-0.511013804,0.098415567,0.838866283
2045,장시환,2015,P,0,0.517451737,-0.273897704,-0.209678417,0.767426804,0.378387769,2.075307134,-0.547495089,0.154664961,-0.121113916,0.053934348,0.462871739,-0.741023374,-0.972232217,-0.836431362,-0.957366262,-1.794503351,-0.751470395
2046,소사,2013,P,1,0.623330001,-0.305142991,-0.205581405,1.362319711,1.608704414,-0.304738338,-0.401568329,1.902559443,2.953051282,1.970475535,2.168358954,0.449668786,0.592475471,0.358117515,0.347914558,-0.662132054,0.336867261
2047,김성배,2013,P,0,0.616931739,-0.305142991,-0.205581405,-0.482189477,0.063086448,4.293581549,0.173404506,-0.185583939,-0.540699531,-0.384483031,0.14115019,-0.844757285,-1.026728916,-1.040914631,-1.075498487,-1.878528186,-1.240395775
2048,홍성민,2015,P,0,0.506150792,-0.273897704,-0.209678417,0.054097299,0.075356886,-0.100468727,1.094990177,0.312117544,0.048132148,-0.159544012,0.228710179,-0.696706179,-0.810871778,-0.714992708,-0.879333082,-0.528266475,-0.816486602
2049,홍상삼,2012,P,0,0.671310445,-0.344451711,-0.234136395,0.318414442,-0.553593735,-0.156664726,3.357299581,-0.061074179,-0.744318566,0.150996649,0.550307321,-1.357151109,-1.121966536,-1.121966536,-1.074469043,-1.282139746,-1.393161095
2050,임창민,2015,P,0,0.494849847,-0.273897704,-0.209678417,-0.659232206,0.378387769,5.833465438,-0.547495089,-0.051234571,-0.374983011,-0.319652782,0.392623271,-0.840737065,-0.993746942,-1.222827078,-1.146875414,-1.25655958,-1.174075742
2051,이보근,2011,P,0,0.700637642,-0.308944476,-0.222541102,0.28823664,-0.250018958,-0.174382173,0.357706576,0.404473182,0.115413414,0.707716662,0.018514535,-0.568623815,-0.599937876,-0.599802145,-0.646258523,-0.05895382,0.301826701
2052,봉중근,2012,P,0,0.636633211,-0.344451711,-0.234136395,-1.001840562,-0.872613853,3.46687315,-0.563481194,-0.601258948,-1.204675275,-0.875780565,-0.32086702,-1.818644018,-1.867666636,-1.867666636,-1.836386717,-1.254952333,-1.494844409
2053,이용훈,2012,P,1,0.622762318,-0.344451711,-0.234136395,1.110567445,0.40346662,-0.156664726,-0.385263886,0.658507746,0.27869634,-0.065166975,0.233516652,-0.692601319,-0.307432581,-0.307432581,-0.375567116,-0.520892178,-0.478011267
2054,장원삼,2013,P,1,0.565745643,1.830857945,-0.205581405,2.41632496,1.917828007,-0.156405438,-0.59322594,1.700096872,1.861254153,0.667732498,1.238227874,-0.133357833,0.002699039,-0.145748468,-0.091668882,0.304468444,-0.51748355
2055,함덕주,2015,P,0,0.460947012,-0.273897704,-0.209678417,0.767426804,-0.530704879,0.097329079,2.737475443,-0.107756011,-0.459606042,1.014586968,0.486287895,-0.923831807,-0.757084965,-1.289066344,-1.197039601,-0.759996099,0.028724092
2056,김혁민,2012,P,1,0.615826871,1.075106856,-0.234136395,1.110567445,1.679547094,-0.301606241,-0.385263886,1.553500224,1.915520192,1.015651145,1.421481662,-0.046511246,-0.112403324,-0.112403324,-0.134961534,-0.321517815,-0.511905705
