Rank,Name,Year,Position,Binary_SP,WAR_z,경기_z,경기(선발)_z,경기(구원)_z,경기(마무리)_z,완투_z,완봉_z,승_z,패_z,세이브_z,홀드_z,이닝_z,자책점_z,실점_z,rRA_z,상대 타자 수_z,피안타_z,피홈런_z,4구_z,몸에 맞는 공_z,고의사구_z,삼진_z,보크_z,폭투_z,ERA_z,RA9_z,rRA9_z,rRA9pf_z,FIP_z,WHIP_z
3393,오현택,2016,P,0,-0.708831053,-0.676169003,-0.74010039,-0.213742534,-0.421595188,-0.243499935,-0.194012283,-0.682524199,-1.106009431,-0.313852773,0.201615969,-0.95047747,-0.948990841,-0.989078494,-0.997165405,-0.98794935,-0.857946086,-0.77323901,-1.345430283,-0.562117238,-0.593319368,-0.892770282,-0.43094017,-1.173139296,0.407064774,0.083033198,0.223359467,0.662722322,-0.622083298,-0.235597548
3394,이민우,2020,P,1,-0.646922962,-0.604332252,1.479975958,-1.159127165,-0.776220831,-0.225902401,-0.157727768,0.655644276,2.066946013,-0.298650186,-0.602979306,0.969158037,2.205857175,2.189880957,2.208308984,1.098115323,1.352744948,0.995728306,1.324262427,0.837359517,-0.718561278,0.516314862,-0.41483197,0.3211038,0.785186712,0.822884227,0.716333545,0.813359864,0.036127447,0.355309073
3395,김대현,2020,P,0,-0.646922962,0.06369188,-0.68432092,0.371219297,0.183087506,-0.225902401,-0.157727768,0.145560494,-1.048671139,-0.298650186,-0.051145566,-0.614415422,-0.480664075,-0.439564242,-0.549141517,-0.558840701,-0.555465203,-0.085438552,-0.107372629,-0.731732814,0.207885653,-0.496427366,-0.41483197,-0.014744562,0.316196942,0.479937259,0.18215791,0.416241567,0.796480043,1.008567907
3396,박상원,2020,P,0,-0.646922962,1.824846408,-0.68432092,1.716069218,0.42291459,-0.225902401,-0.157727768,-0.619565179,-1.048671139,-0.081546327,1.236466493,-0.05941471,-0.070855749,0.019545237,0.238701484,-0.063774572,-0.036929836,0.347028191,-0.286327011,0.209722585,2.987226446,0.126798621,1.474958117,-0.350592924,-0.277524148,-0.123842615,0.242065458,0.375511485,-0.387915346,-0.461264469
3397,신정락,2017,P,0,-0.7006372,1.819897824,-0.763386261,1.776807369,1.430631802,-0.319489069,-0.204777587,-0.217636188,0.362909355,1.598545907,1.988012222,-0.198046316,-0.111128136,0.046510186,0.051034395,-0.195366809,-0.304575629,-0.737070248,-0.001115459,1.06903075,1.299645469,0.096260845,-0.474679373,0.384117946,-0.072560318,0.235375364,0.204603832,0.228055573,-0.850314427,-0.417295821
3398,이준영,2020,P,0,-0.658230876,0.974633877,-0.68432092,1.066831325,-0.656307289,-0.225902401,-0.157727768,-0.87460707,-0.425547709,-0.298650186,1.788300232,-0.805129953,-0.799403884,-0.856936496,-0.767986794,-0.786166984,-0.679913691,-1.16660541,-0.703887236,-1.04555128,-0.718561278,-0.652233863,-0.41483197,-0.014744562,0.051766541,-0.176975244,0.366872849,0.329690143,-0.928935463,1.008567907
3399,송창현,2019,P,1,-0.747238142,-1.590540595,-0.547906667,-1.006717638,-0.766635794,-0.319806661,-0.243367873,-0.941839416,-0.811473227,-0.318838974,-0.556086332,-1.108753666,-1.024445821,-1.050657962,-1.108707103,-1.12750294,-1.070472876,-0.301327604,-1.260677774,-1.063097043,-0.628592366,-1.17532219,-0.403881284,-1.022116484,1.003682593,0.726352583,0.644991514,0.755068455,2.728694684,0.106221639
3400,조상우,2018,P,0,-0.732461655,-0.801191071,-0.709289656,-0.284085503,0.734195593,-0.227179608,-0.146653406,-0.733099228,-0.513342592,1.463587249,-0.599718615,-0.953274695,-1.106713197,-1.035655197,-1.010608318,-1.015013564,-1.054327181,-1.145759726,-1.104015285,-0.568051726,-0.714872823,-0.749829643,-0.412907639,-1.045851619,-0.9259915,-0.377332907,0.204596024,0.36086477,-2.051195226,-1.41352908
3401,김세현,2018,P,0,-0.732461655,0.471775101,-0.709289656,0.707709226,1.806552371,-0.227179608,-0.146653406,-0.733099228,0.684456789,0.475665856,-0.599718615,-0.526541191,-0.278172781,-0.300058297,-0.350579618,-0.482903186,-0.329782732,-0.714674281,-0.410796385,-0.568051726,2.502054881,-0.542099965,-0.412907639,-0.739867167,0.708090529,0.689644611,0.51528356,0.572731532,-0.492855772,1.087102205
3402,이현승,2016,P,0,-0.721099098,1.327982003,-0.74010039,1.395613013,3.699690408,-0.243499935,-0.194012283,-0.682524199,0.103983793,4.350213206,-0.432978556,-0.165402773,-0.248831233,-0.168601754,0.020591639,-0.159410917,-0.167513749,0.093944926,-0.558717949,0.807508519,1.865327796,-0.240393901,1.130201577,-0.500772893,-0.399529625,-0.19312485,0.247837217,0.465609191,-0.02319897,-0.691451409
3403,플란데,2016,P,1,-0.721099098,-1.065865032,0.566328587,-1.107828948,-0.738617157,-0.243499935,-0.194012283,-0.42905293,0.708980404,-0.313852773,-0.644510065,0.067997813,0.863186967,0.950230164,0.920915178,0.183770682,0.350310505,0.961128863,0.340381862,-0.836042389,-0.593319368,0.167341337,5.813626818,-0.836956094,1.367296201,1.550122827,1.459485831,1.223262788,0.622473196,0.711175855
3404,이동현,2016,P,0,-0.721099098,0.771273391,-0.74010039,0.948569806,0.21244875,-0.243499935,-0.194012283,0.077889609,-0.198514513,0.059272505,0.413147477,-0.464579887,-0.454760529,-0.541545727,-0.331708876,-0.478079545,-0.378479185,-0.426365435,-0.727299163,-0.288192086,1.865327796,-0.321940948,-0.43094017,-0.164589692,-0.041043225,-0.319697289,0.327389903,0.588804898,-0.846664921,-0.165466185
3405,김재열,2020,P,0,-0.663884832,-1.090167984,-0.68432092,-0.509889272,-0.416480204,-0.225902401,-0.157727768,-0.87460707,-0.737109424,-0.298650186,-0.235090146,-0.935844406,-0.799403884,-0.773462045,-0.943063017,-0.907407669,-0.845845008,-0.734138666,-0.763538697,-0.104095881,0.207885653,-0.885943608,-0.41483197,-1.022289649,1.024670849,1.267266215,0.436764988,0.665713318,1.11816768,1.531174975
3406,이정훈,2016,P,0,-0.727233121,-0.954523309,-0.74010039,-0.437264137,0.31812274,-0.243499935,-0.194012283,-0.935995468,-0.198514513,-0.313852773,-0.432978556,-0.997157587,-0.948990841,-0.989078494,-0.958020904,-1.007559727,-0.800410058,-0.77323901,-1.233042807,-1.10996754,-0.593319368,-1.137411424,-0.43094017,0.50777671,0.98320363,0.600829537,1.080080709,1.007670301,0.603758061,1.552752213
3407,조무근,2016,P,0,-0.727233121,0.3259065,-0.74010039,0.59093524,-0.210247209,-0.243499935,-0.194012283,-0.42905293,-1.106009431,-0.313852773,0.201615969,-0.568549239,-0.001716077,-0.131307357,-0.331708876,-0.473176951,-0.282585805,-0.426365435,0.003219433,-0.288192086,-0.593319368,-0.512217393,-0.43094017,0.843959911,2.013852028,1.527109656,0.945453085,0.761278888,0.800266981,2.113803118
3408,김태훈,2017,P,0,-0.711875553,-0.649709662,-0.180436753,-0.420869139,-0.792985419,-0.319489069,-0.204777587,-0.465197351,-0.580654967,-0.341023127,0.031062691,-0.561926125,-0.327673325,-0.269932949,-0.363620065,-0.482346303,-0.304575629,-0.05870471,-0.339471258,-0.445924951,0.003560673,-0.498459621,-0.474679373,0.069210441,0.534669735,0.721115062,0.476341175,0.541958852,0.620590018,1.242403467
3409,정재원,2016,P,0,-0.727233121,-1.01019417,-0.74010039,-0.481968458,0.21244875,-0.243499935,-0.194012283,-0.935995468,-1.106009431,-0.313852773,-0.644510065,-0.931381058,-0.784247404,-0.802606508,-0.801442897,-0.934020813,-0.877124762,-0.946675797,-1.008267854,-0.836042389,0.226229687,-0.919952631,-0.43094017,-0.164589692,1.360894658,1.187665389,1.459485831,1.543571626,-0.500434919,0.39558472
3410,김승회,2016,P,0,-0.727233121,-0.509156419,-0.74010039,-0.079629571,-0.315921198,-0.243499935,-0.194012283,-0.682524199,-0.803511125,-0.313852773,0.201615969,-0.867726353,-0.866619122,-0.9144897,-0.801442897,-0.91931303,-0.857946086,-0.599802223,-1.008267854,-1.10996754,0.226229687,-0.838405583,-0.43094017,-0.500772893,0.291837003,-0.02052607,0.798586587,0.712000605,-0.06062924,-0.200531867
3411,김진호,2020,P,1,-0.663884832,-1.758192116,-0.389189527,-1.159127165,-0.776220831,-0.225902401,-0.157727768,-0.87460707,-0.737109424,-0.298650186,-0.602979306,-1.085844598,-0.981540918,-1.023885397,-1.074370183,-1.084217001,-1.032517741,-0.301671923,-1.00214454,-0.731732814,-0.718561278,-1.041750105,-0.41483197,-0.686441287,1.743123261,1.460475775,1.48015478,1.1799306,4.101089403,1.890467333
