Rank,Name,Year,Position,WAR_z,oWAR_z,dWAR_z,출장 경기_z,타석_z,유효타석_z,타수_z,득점_z,안타_z,2루타_z,3루타_z,홈런_z,루타_z,타점_z,도루_z,도루실패_z,볼넷_z,사구_z,고의사구_z,삼진_z,병살타_z,희생번트_z,희생플라이_z,타율_z,출루율_z,장타율_z,OPS_z,R/ePA_z,wRC+_z,WAR2_z
4360,김종국,1996,2B,0.471062172,-0.050774844,1.724157688,1.292414922,1.410401487,1.453583541,1.499159389,1.117892743,0.861481575,1.313931348,0.339285922,1.07313558,1.031917731,1.093859234,1.67970825,0.113246642,0.759831953,0.484144525,-0.178172221,2.689499469,0.08034757,-0.018400794,1.491347635,-0.584402785,-0.631500756,-0.023932813,-0.263105544,-0.224838413,-0.329151097,0.471062172
4361,홍원기,1996,3B,0.460494444,0.757195743,-0.958321904,1.199221593,1.209468471,1.220586805,1.15214331,0.83005003,1.065564982,1.188235231,-0.797117527,0.724617249,0.983464889,0.909000349,-0.136836645,0.113246642,1.032884284,1.668934825,-0.178172221,1.475595946,2.137668256,0.712373587,1.973434429,0.470266661,0.669687978,0.408904117,0.529995524,0.501531692,0.541425601,0.460494444
4363,노찬엽,1996,LF,0.444642853,0.163257099,0.92806697,0.640061618,0.567779161,0.574852995,0.571268571,0.39828596,0.40229391,0.056970182,0.339285922,0.027580587,0.288974147,0.030920641,-0.136836645,-0.136614997,0.759831953,-0.463687714,-0.178172221,0.303551166,0.08034757,0.346986396,-0.919086333,0.043910927,0.277265979,-0.135233737,0.020144837,0.222158575,0.216803781,0.444642853
4368,안경현,1996,3B,0.418223533,0.409393835,0.045444653,1.261350479,1.371511226,1.413641243,1.484071733,0.686128674,1.244137963,1.062539114,0.339285922,0.550358084,1.096521521,0.677926741,-0.671114555,-0.636338274,0.869052886,-0.226729654,0.131402013,1.057008525,1.843765301,-0.201094389,0.527174048,0.223429131,0.029420506,0.12446842,0.092980649,0.166283951,0.147944607,0.418223533
4370,이만수,1996,DH,0.402371941,0.222115884,0.616553211,0.391546073,-0.268361455,-0.243964105,-0.273640142,-0.705111107,-0.082404181,0.182666299,-0.228915803,0.201839753,0.014408039,0.493067855,-0.457403391,-0.386476636,-0.496208768,1.431976765,-0.487746454,-0.617341161,0.08034757,-0.931868769,0.527174048,0.986381496,0.917533451,1.225110898,1.161239231,0.799529683,0.910314032,0.402371941
4372,최태원,1996,2B,0.375952621,0.147204704,0.755003771,1.292414922,1.682633315,1.600038632,1.657579772,1.357761671,1.473731796,1.439627464,0.907487646,-0.669456075,0.983464889,0.585497298,-0.136836645,0.61296992,0.486779623,2.142850944,-0.178172221,0.554703619,0.374250525,2.722003133,1.009260841,0.380507559,0.173997032,-0.308368509,-0.133619656,-0.001339919,-0.058632914,0.375952621
4373,정수근,1996,CF,0.301978526,-0.007968455,1.01459857,1.292414922,1.864121201,1.879634715,1.966876712,1.933447098,1.677815202,1.188235231,2.612092819,-0.669456075,1.177276258,-0.061508802,3.923675472,5.360341056,1.032884284,0.484144525,-0.178172221,0.596562361,1.255959391,1.077760777,0.045087254,0.268308682,0.091381874,-0.345468817,-0.190269732,0.017284955,-0.043877377,0.301978526
4374,송구홍,1996,3B,0.301978526,0.420095432,-0.369907026,0.76431939,0.976126904,0.921019573,0.903196993,0.782076245,0.835971149,0.936842998,-0.228915803,0.376098918,0.741200676,0.493067855,1.14543034,0.61296992,0.10450636,4.275473483,-0.178172221,0.38726865,1.843765301,2.356615942,-0.919086333,0.447826885,0.690341767,0.322336731,0.481438315,0.296658072,0.285662955,0.301978526
4377,강석천,1996,3B,0.296694662,0.602022584,-0.975628224,0.888577162,0.911309802,0.914362524,0.963547616,0.734102459,1.116585834,0.559754648,0.339285922,-0.146678578,0.757351624,1.001429791,1.252285922,1.612416475,0.37755869,0.484144525,-0.178172221,0.554703619,2.137668256,0.712373587,0.045087254,1.008821271,0.710995557,0.260502884,0.449066843,0.557406315,0.597988494,0.296694662
4378,김종훈,1996,LF,0.291410798,0.457551022,-0.525663905,0.143030529,0.036278925,0.055603126,0.065832109,0.638154888,0.274741781,-0.320118167,2.043891095,-0.146678578,0.208219409,-0.107723523,0.931719176,0.113246642,-0.168545971,0.247186465,-0.487746454,0.429127393,-0.50745834,-0.201094389,0.045087254,1.098580373,0.834918293,0.792273968,0.845617377,0.762279934,0.863588164,0.291410798
