Rank,Name,Year,Position,WAR_z,oWAR_z,dWAR_z,득점_z,안타_z,홈런_z,타점_z,도루_z,볼넷_z,삼진_z,타율_z,출루율_z,장타율_z,OPS_z,R/ePA_z,wRC+_z
4373,정수근,1996,CF,0.301978526,-0.007968455,1.01459857,1.933447098,1.677815202,-0.669456075,-0.061508802,3.923675472,1.032884284,0.596562361,0.268308682,0.091381874,-0.345468817,-0.190269732,0.017284955,-0.043877377
4374,송구홍,1996,3B,0.301978526,0.420095432,-0.369907026,0.782076245,0.835971149,0.376098918,0.493067855,1.14543034,0.10450636,0.38726865,0.447826885,0.690341767,0.322336731,0.481438315,0.296658072,0.285662955
4377,강석천,1996,3B,0.296694662,0.602022584,-0.975628224,0.734102459,1.116585834,-0.146678578,1.001429791,1.252285922,0.37755869,0.554703619,1.008821271,0.710995557,0.260502884,0.449066843,0.557406315,0.597988494
4378,김종훈,1996,LF,0.291410798,0.457551022,-0.525663905,0.638154888,0.274741781,-0.146678578,-0.107723523,0.931719176,-0.168545971,0.429127393,1.098580373,0.834918293,0.792273968,0.845617377,0.762279934,0.863588164
4380,박노준,1996,LF,0.270275343,0.339833453,-0.231456466,-0.657137321,-0.260977162,-0.146678578,-0.338797131,-0.564258973,-0.769261099,-0.952211099,2.332768022,1.619762291,1.781615521,1.800575806,1.61902416,1.857127673
4383,조경택,1996,C,0.222720567,-0.040073247,0.858841691,-0.225373251,0.657398168,-0.495196909,0.539282577,-0.564258973,0.10450636,0.680279846,0.380507559,0.421842505,-0.172334046,0.052516309,0.054534704,0.015144772
4384,이동수,1996,3B,0.217436703,0.446849425,-0.733339745,-0.177399466,0.147189651,0.550358084,0.493067855,-0.564258973,0.213727292,1.475595946,0.560025762,0.752303135,1.039609357,0.975103266,0.799529683,0.907854776
4388,최훈재,1996,1B,0.175165792,0.27562387,-0.335294386,0.39828596,0.0961688,0.550358084,0.446853134,-0.671114555,0.814442419,-0.19875374,-0.247806153,0.297919768,0.384170578,0.368138163,0.389782445,0.401247997
4391,정영규,1996,RF,0.164598064,0.404043036,-0.785258704,0.494233532,0.351273058,0.376098918,0.123350084,-0.243692227,1.08749475,1.224443494,0.021471152,0.649034188,0.309969961,0.457159711,0.501531692,0.52912932
4393,김태균,1996,SS,0.138178744,-0.152440017,0.92806697,-0.225373251,-0.235466736,0.201839753,-0.292582409,-0.243692227,0.37755869,0.680279846,-0.337565255,0.132689453,-0.246534662,-0.109341052,0.054534704,0.017604028
4398,마해영,1996,1B,0.101191696,1.083594457,-3.173530857,0.973971387,1.524752647,1.247394746,1.694650613,-0.243692227,0.37755869,1.726748399,0.784423517,0.215304611,1.027242587,0.756595829,0.669155562,0.735706841
4402,박재용,1996,RF,0.058920785,-0.007968455,0.235814173,0.302338389,0.555356465,-0.146678578,0.446853134,-0.457403391,0.159116826,0.889573556,0.111230254,0.029420506,-0.172334046,-0.101248184,-0.019964793,-0.078306964
4408,윤덕규,1996,RF,-0.004485582,-0.018670053,0.045444653,0.446259746,0.733929446,0.027580587,-0.200152966,-0.350547809,-0.550819234,0.261692424,0.582465538,-0.280386335,0.272869653,0.068702045,0.017284955,-0.024203327
4409,김대익,1996,CF,-0.004485582,0.38799064,-1.269835663,0.494233532,0.223720929,0.201839753,0.030920641,0.718008012,-0.277766903,-0.073177513,0.941501945,0.339227347,1.076709665,0.837524509,0.74365506,0.843914115
4412,김민재,1996,SS,-0.020337174,-0.211298802,0.616553211,0.206390818,0.376783484,-0.146678578,0.169564805,-0.029981063,0.213727292,0.052398713,0.021471152,-0.094502231,-0.172334046,-0.149805392,-0.038589668,-0.097981014
